date,daily_return,close_price,news_date,avg_sentiment,article_count,avg_subjectivity,forward_filled
2018-11-13,-0.24839871358665055,51.450416564941406,2018-11-13,0.0,2,0.0,False
2018-11-14,0.7345067825435425,51.82832336425781,2018-11-14,0.056818181818181816,2,0.31136363636363634,False
2018-11-15,2.0169383042735634,52.8736686706543,2018-11-15,0.10902777777777778,4,0.15868055555555555,False
2018-11-16,-0.30242743505561887,52.71376419067383,2018-11-16,-0.19,2,0.7372222222222222,False
2018-11-19,-3.908660191769109,50.65336227416992,2018-11-17,0.5,1,0.5,True
2018-11-19,-3.908660191769109,50.65336227416992,2018-11-19,0.0,1,0.0,False
2018-11-20,0.5647184635283686,50.93941116333008,2018-11-20,0.5,2,0.15,False
2018-11-21,1.155243573183018,51.52788543701172,2018-11-21,0.0,1,0.25,False
2018-11-26,2.416305517636941,52.07463836669922,2018-11-26,0.09722222222222222,3,0.4055555555555556,False
2018-11-27,-0.4014781569247283,51.865570068359375,2018-11-27,0.11166666666666666,5,0.20500000000000002,False
2018-11-28,4.00417821151835,53.942359924316406,2018-11-28,0.03333333333333333,1,0.06666666666666667,False
2018-11-29,0.1905709391622823,54.04515838623047,2018-11-29,0.0,1,0.0,False
2018-11-30,0.5632493940052274,54.34956741333008,2018-11-30,0.0,1,0.0,False
2018-12-03,1.0964657232860553,54.94549179077149,2018-12-03,0.0,1,0.0,False
2018-12-06,1.7043948497678318,53.07331085205078,2018-12-05,0.13636363636363635,1,0.45454545454545453,True
2018-12-06,1.7043948497678318,53.07331085205078,2018-12-06,0.0,1,0.0,False
2018-12-07,-3.00825495854552,51.47673034667969,2018-12-07,-0.4,1,0.7,False
2018-12-10,0.2865280463270503,51.62422561645508,2018-12-10,0.35,2,0.375,False
2018-12-11,1.1735921302187702,52.23008346557617,2018-12-11,0.0,3,0.13333333333333333,False
2018-12-12,1.134284505846317,52.8225212097168,2018-12-12,0.0,1,0.0,False
2018-12-13,-0.16734181370882117,52.73412704467773,2018-12-13,0.4,1,0.5,False
2018-12-17,-2.4536907084207082,50.481048583984375,2018-12-15,0.0,1,0.0,True
2018-12-17,-2.4536907084207082,50.481048583984375,2018-12-17,0.033333333333333326,2,0.25,False
2018-12-20,-1.329407718773401,50.1274642944336,2018-12-20,0.0,1,1.0,False
2018-12-24,-0.33894918381488504,48.47924041748047,2018-12-24,-0.4305555555555556,1,0.5472222222222222,False
2018-12-26,6.478044452306175,51.619747161865234,2018-12-26,0.0,1,0.1,False
2018-12-27,0.42523515152115277,51.83925247192383,2018-12-27,0.2555555555555556,3,0.5222222222222223,False
2018-12-28,-0.6514219334568527,51.50156021118164,2018-12-28,0.0,1,0.0,False
2019-01-02,0.9887856039402676,51.93708038330078,2019-01-02,-0.375,1,0.625,False
2019-01-03,-2.8483964076664314,50.457706451416016,2019-01-03,-0.03333333333333333,3,0.13333333333333333,False
2019-01-04,5.378604744698112,53.17162704467773,2019-01-04,0.1590909090909091,4,0.21363636363636365,False
2019-01-07,-0.2166713311637647,53.056419372558594,2019-01-07,0.2714285714285714,3,0.44761904761904764,False
2019-01-10,-0.40292219196420564,53.15275955200195,2019-01-10,0.05,4,0.2666666666666667,False
2019-01-14,-1.182376697342269,51.87947463989258,2019-01-14,0.1902777777777778,4,0.36388888888888893,False
2019-01-15,3.107149445955204,53.49144744873047,2019-01-15,0.0,2,0.0,False
2019-01-16,0.35463101985941936,53.68114471435547,2019-01-16,-0.13333333333333333,1,0.26666666666666666,False
2019-01-17,0.8260974304639124,54.124603271484375,2019-01-17,0.10416666666666667,2,0.125,False
2019-01-22,-2.5258103415945143,53.16219711303711,2019-01-22,0.13575757575757577,5,0.2503030303030303,False
2019-01-23,0.4717299633162808,53.41297912597656,2019-01-23,0.0,2,0.0,False
2019-01-24,-0.15525758947433355,53.33005142211914,2019-01-24,0.006249999999999999,4,0.2375,False
2019-01-25,1.591377433422947,54.1787338256836,2019-01-25,0.0,1,0.0,False
2019-01-28,-1.9165886881514216,53.14035034179688,2019-01-26,0.37222222222222223,1,0.5944444444444444,True
2019-01-28,-1.9165886881514216,53.14035034179688,2019-01-28,0.0,2,0.0,False
2019-01-29,-0.8840578003943111,52.67055892944336,2019-01-29,0.0,1,0.1,False
2019-01-30,2.681463990965338,54.08290100097656,2019-01-30,0.0,2,0.0,False
2019-01-31,2.50765508296662,55.43911361694336,2019-01-31,0.0,3,0.3666666666666667,False
2019-02-01,-0.5034187293758596,55.1600227355957,2019-02-01,0.125,2,0.3333333333333333,False
2019-02-04,1.9851493813671572,56.25503158569336,2019-02-04,0.03951346801346801,15,0.22443602693602693,False
2019-02-05,1.164372029167593,56.91004943847656,2019-02-05,0.061111111111111116,9,0.14444444444444446,False
2019-02-06,-2.6841476307338685,55.38249969482422,2019-02-06,0.11071428571428571,2,0.2488095238095238,False
2019-02-07,-1.4813003549340564,54.56211853027344,2019-02-07,0.09166666666666667,3,0.3333333333333333,False
2019-02-11,-0.004566621643475877,54.37837219238281,2019-02-11,0.4,1,0.7,False
2019-02-12,2.407294750095468,55.68741989135742,2019-02-12,-0.09090909090909091,2,0.30113636363636365,False
2019-02-13,-0.10791798370242134,55.627323150634766,2019-02-13,0.11212121212121212,1,0.4181818181818182,False
2019-02-14,0.13480662847031866,55.70231246948242,2019-02-14,-0.0033333333333333335,3,0.020000000000000004,False
2019-02-15,-0.7149966234139993,55.30404281616211,2019-02-15,0.1,2,0.25,False
2019-02-19,0.4408929656951388,55.5478744506836,2019-02-19,0.20138888888888892,2,0.36388888888888893,False
2019-02-20,-0.4255593260658941,55.311485290527344,2019-02-20,-0.2,2,0.85,False
2019-02-21,-1.5110374966878393,54.4757080078125,2019-02-21,0.05,5,0.05769230769230769,False
2019-02-22,1.2215485753980238,55.14115524291992,2019-02-22,0.0,1,0.0,False
